Date,NIFTY,SBI,CRUDE,VIX,USDINR
2013-04-26,5871.4501953125,197.10728454589844,93.0,13.880000114440918,54.21799850463867
2013-04-29,5904.10009765625,195.86671447753906,94.5,14.329999923706055,54.37300109863281
2013-04-30,5930.2001953125,195.06982421875,93.45999908447266,15.100000381469727,54.22800064086914
2013-05-02,5999.35009765625,198.09800720214844,93.98999786376953,16.280000686645508,53.65800094604492
2013-05-03,5944.0,190.71926879882812,95.61000061035156,15.550000190734863,53.80799865722656
2013-05-06,5971.0498046875,191.77890014648438,96.16000366210938,15.84000015258789,53.779998779296875
2013-05-07,6043.5498046875,194.42373657226562,95.62000274658203,16.5,54.17300033569336
2013-05-08,6069.2998046875,194.2427978515625,96.62000274658203,16.760000228881836,54.12799835205078
2013-05-09,6050.14990234375,197.36570739746094,96.38999938964844,16.600000381469727,54.15800094604492
2013-05-10,6094.75,197.5940399169922,96.04000091552734,16.860000610351562,54.24800109863281
2013-05-13,5980.4501953125,196.22427368164062,95.16999816894531,17.510000228881836,54.803001403808594
2013-05-14,5995.39990234375,197.54664611816406,94.20999908447266,17.170000076293945,54.827999114990234
2013-05-15,6146.75,205.27432250976562,94.30000305175781,18.1299991607666,54.79800033569336
2013-05-16,6169.89990234375,208.42742919921875,95.16000366210938,17.739999771118164,54.77799987792969
2013-05-17,6187.2998046875,208.9012451171875,96.0199966430664,17.56999969482422,54.77799987792969
2013-05-20,6156.89990234375,207.77700805664062,96.70999908447266,17.709999084472656,54.88800048828125
2013-05-21,6114.10009765625,203.37472534179688,96.16000366210938,17.8799991607666,55.108001708984375
2013-05-22,6094.5,203.57286071777344,94.27999877929688,17.719999313354492,55.40800094604492
2013-05-23,5967.0498046875,187.60060119628906,94.25,18.729999542236328,55.65299987792969
2013-05-24,5983.5498046875,185.32626342773438,94.1500015258789,17.700000762939453,55.70800018310547
2013-05-28,6111.25,187.07337951660156,95.01000213623047,17.1200008392334,55.564998626708984
2013-05-29,6104.2998046875,185.00924682617188,93.12999725341797,17.860000610351562,56.108001708984375
2013-05-30,6124.0498046875,183.4501495361328,93.61000061035156,16.040000915527344,56.29800033569336
2013-05-31,5985.9501953125,179.7786102294922,91.97000122070312,16.989999771118164,56.37799835205078
2013-06-03,5939.2998046875,181.80758666992188,93.44999694824219,17.290000915527344,56.573001861572266
2013-06-04,5919.4501953125,178.1492462158203,93.30999755859375,17.260000228881836,56.667999267578125
2013-06-05,5923.85009765625,178.46107482910156,93.73999786376953,16.780000686645508,56.4379997253418
2013-06-06,5921.39990234375,179.95864868164062,94.76000213623047,17.350000381469727,56.722999572753906
2013-06-07,5881.0,177.79348754882812,96.02999877929688,17.350000381469727,56.8380012512207
2013-06-10,5878.0,176.68675231933594,95.7699966430664,18.110000610351562,56.8380012512207
2013-06-11,5788.7998046875,175.45265197753906,95.37999725341797,19.489999771118164,56.8380012512207
2013-06-12,5760.2001953125,176.20364379882812,95.87999725341797,18.850000381469727,56.8380012512207
2013-06-13,5699.10009765625,177.32357788085938,96.69000244140625,19.440000534057617,57.827999114990234
2013-06-14,5808.39990234375,179.69955444335938,97.8499984741211,18.350000381469727,57.99800109863281
2013-06-17,5850.0498046875,181.45187377929688,97.7699966430664,18.18000030517578,57.49800109863281
2013-06-18,5813.60009765625,179.5019073486328,98.44000244140625,18.290000915527344,58.10300064086914
2013-06-19,5822.25,179.69515991210938,98.23999786376953,18.459999084472656,58.8380012512207
2013-06-20,5655.89990234375,175.4570770263672,95.4000015258789,19.190000534057617,58.7130012512207
2013-06-21,5667.64990234375,174.71484375,93.69000244140625,19.030000686645508,59.56800079345703
2013-06-24,5590.25,171.14431762695312,95.18000030517578,21.010000228881836,59.268001556396484
2013-06-25,5609.10009765625,167.57376098632812,95.31999969482422,21.139999389648438,59.80799865722656
2013-06-26,5588.7001953125,166.89303588867188,95.5,21.06999969482422,59.65800094604492
2013-06-27,5682.35009765625,167.98658752441406,97.05000305175781,18.850000381469727,60.7130012512207
2013-06-28,5842.2001953125,171.61422729492188,96.55999755859375,17.950000762939453,60.1879997253418
2013-07-01,5898.85009765625,177.04248046875,97.98999786376953,18.09000015258789,59.5260009765625
2013-07-02,5857.5498046875,174.78509521484375,99.5999984741211,18.209999084472656,59.37799835205078
2013-07-03,5770.89990234375,166.7788543701172,101.23999786376953,18.90999984741211,59.54800033569336
2013-07-05,5867.89990234375,166.40115356445312,103.22000122070312,18.670000076293945,60.17499923706055
2013-07-08,5811.5498046875,164.53463745117188,103.13999938964844,19.34000015258789,60.222999572753906
2013-07-09,5859.0,166.41871643066406,103.52999877929688,19.31999969482422,60.6879997253418
2013-07-10,5816.7001953125,164.8069305419922,106.5199966430664,19.979999542236328,60.095001220703125
2013-07-11,5935.10009765625,167.88555908203125,104.91000366210938,18.889999389648438,59.88800048828125
2013-07-12,6009.0,166.3089141845703,105.94999694824219,18.690000534057617,59.82699966430664
2013-07-15,6030.7998046875,167.96902465820312,106.31999969482422,18.790000915527344,59.88399887084961
2013-07-16,5955.25,160.53370666503906,106.0,18.989999771118164,59.80799865722656
2013-07-17,5973.2998046875,158.69351196289062,106.4800033569336,19.360000610351562,59.292999267578125
2013-07-18,6038.0498046875,160.2350311279297,108.04000091552734,18.270000457763672,59.323001861572266
2013-07-19,6029.2001953125,159.09759521484375,108.05000305175781,18.1299991607666,59.737998962402344
2013-07-22,6031.7998046875,160.27456665039062,106.91000366210938,17.6299991607666,59.33300018310547
2013-07-23,6077.7998046875,163.45863342285156,107.2300033569336,16.719999313354492,59.71799850463867
2013-07-24,5990.5,158.21481323242188,105.38999938964844,16.90999984741211,59.757999420166016
2013-07-25,5907.5,157.94252014160156,105.48999786376953,16.719999313354492,59.12699890136719
2013-07-26,5886.2001953125,155.0526885986328,104.69999694824219,16.780000686645508,58.95800018310547
2013-07-29,5831.64990234375,152.83924865722656,104.55000305175781,18.25,59.060001373291016
2013-07-30,5755.0498046875,151.36802673339844,103.08000183105469,18.1200008392334,59.4119987487793
2013-07-31,5742.0,150.05923461914062,105.02999877929688,18.770000457763672,60.80799865722656
2013-08-01,5727.85009765625,147.84579467773438,107.88999938964844,19.809999465942383,60.630001068115234
2013-08-02,5677.89990234375,147.6173858642578,106.94000244140625,20.889999389648438,60.43299865722656
2013-08-05,5685.39990234375,147.7623291015625,106.55999755859375,20.799999237060547,61.097999572753906
2013-08-06,5542.25,144.1741943359375,105.30000305175781,22.729999542236328,60.87699890136719
2013-08-07,5519.10009765625,150.73558044433594,104.37000274658203,22.040000915527344,60.78300094604492
2013-08-08,5565.64990234375,146.17245483398438,103.4000015258789,21.190000534057617,61.202999114990234
2013-08-12,5612.39990234375,141.00772094726562,106.11000061035156,21.280000686645508,60.672000885009766
