,Date,NIFTY,SBI,CRUDE,VIX,USDINR,NIFTY_return_1d,NIFTY_return_7d,NIFTY_return_30d,NIFTY_MA_50,NIFTY_MA_200,RSI,VIX_lag1,VIX_lag7,CRUDE_lag7,TARGET
2086,2017-01-17,8398.0,234.098388671875,52.47999954223633,15.390000343322754,68.09459686279297,-0.0002797037604693742,0.015011264261208579,0.025033821918510224,8212.309970703125,8267.883752441407,90.44439164408813,14.380000114440918,15.050000190734863,53.7599983215332,1
2087,2017-01-18,8417.0,236.2473297119141,51.08000183105469,15.18000030517578,67.89949798583984,0.002262443438914019,0.021009752713065266,0.04083199823014039,8208.124970703126,8272.275002441405,89.88678939176549,15.390000343322754,14.90999984741211,53.9900016784668,1
2088,2017-01-19,8435.099609375,236.29302978515625,51.369998931884766,15.020000457763672,68.197998046875,0.0021503634757038537,0.024168115711759253,0.037687173227741066,8206.546962890625,8277.1475,90.21396466006729,15.18000030517578,15.479999542236328,51.959999084472656,1
2089,2017-01-20,8349.349609375,229.5718688964844,52.41999816894531,15.789999961853027,68.09030151367188,-0.010165855054597661,0.0073293442635697925,0.02532186064411035,8203.834951171875,8281.400498046874,73.87540642673693,15.020000457763672,15.199999809265137,50.81999969482422,1
2090,2017-01-23,8391.5,232.40663146972656,52.75,15.90999984741211,68.07720184326172,0.005048344194100052,0.001294602312385873,0.035725551223473984,8202.989951171876,8285.795249023438,71.67087456352073,15.789999961853027,14.8100004196167,52.25,1
2091,2017-01-24,8475.7998046875,233.0924835205078,53.18000030517578,15.289999961853027,68.05139923095703,0.010045856484240057,0.00815962600881659,0.027762140230158883,8202.564951171875,8290.152497558594,75.66292917383319,15.90999984741211,14.609999656677246,53.0099983215332,1
2092,2017-01-25,8602.75,237.0246124267578,52.75,15.170000076293944,68.16449737548828,0.014977960574563243,0.024094281790262073,0.041274548370502595,8203.748955078125,8294.644997558593,80.41760218125012,15.289999961853027,14.380000114440918,52.369998931884766,1
2093,2017-01-27,8641.25,243.6543731689453,53.16999816894531,16.010000228881836,68.14900207519531,0.00447531312661642,0.028965229816622973,0.05757700672614785,8207.933955078124,8299.276748046876,79.0313545943994,15.170000076293944,15.390000343322754,52.47999954223633,1
2094,2017-01-30,8632.75,241.3682403564453,52.630001068115234,16.670000076293945,68.11000061035156,-0.0009836539852451365,0.02563264821195199,0.04998299704137832,8210.073955078125,8303.857998046875,81.8107321935456,16.010000228881836,15.18000030517578,51.08000183105469,1
2095,2017-01-31,8561.2998046875,238.07623291015625,52.810001373291016,16.829999923706055,67.82099914550781,-0.008276643631809133,0.014961316541210357,0.04630026463125092,8219.130947265625,8308.588996582032,74.09078020750754,16.670000076293945,15.020000457763672,51.369998931884766,1
2096,2017-02-01,8716.400390625,247.54074096679688,53.880001068115234,13.970000267028809,67.50160217285156,0.01811647640847469,0.04396160161240115,0.06902476037922511,8231.226953125,8314.185998535157,77.50771101041866,16.829999923706055,15.789999961853027,52.41999816894531,1
2097,2017-02-02,8734.25,249.91830444335935,53.540000915527344,13.520000457763672,67.39540100097656,0.002047818890261066,0.04084490257999174,0.07307616490239655,8244.31294921875,8319.181247558594,75.13501656295729,13.970000267028809,15.90999984741211,52.75,1
2098,2017-02-03,8740.9501953125,253.80471801757807,53.83000183105469,13.130000114440918,67.2656021118164,0.0007671174184962215,0.03128322951638851,0.07855041921749573,8257.649951171876,8324.193999023437,74.41296310053775,13.520000457763672,15.289999961853027,53.18000030517578,1
2099,2017-02-06,8801.0498046875,253.34744262695312,53.0099983215332,13.399999618530272,67.15730285644531,0.006875638006406781,0.023050745946063822,0.08891541015377813,8275.0889453125,8329.633999023437,77.19193142854112,13.130000114440918,15.170000076293944,52.75,1
2100,2017-02-07,8768.2998046875,254.1247711181641,52.16999816894531,13.510000228881836,67.19529724121094,-0.0037211469911869743,0.014702711377115651,0.08770297807171157,8290.4089453125,8334.681499023438,74.13319280612718,13.399999618530272,16.010000228881836,53.16999816894531,1
2101,2017-02-08,8769.0498046875,253.4846649169922,52.34000015258789,13.350000381469728,67.34049987792969,8.55353964515082e-05,0.01578868896788399,0.09900235582497419,8305.1239453125,8340.510747070313,73.50288489748019,13.510000228881836,16.670000076293945,52.630001068115234,1
